AnswerID,AnswerText,AnswerValue,QuestionID
1,A real gambler,4,1
2,Willing to take risks after doing alot of research,3,1
3,Cautious,2,1
4,A real risk avoider,1,1
5,"$1,000 in cash",1,2
6,"A 50% chance at $5,000",2,2
7,"A 25% chance at %10,000",3,2
8,"A 5% change at $100,000",4,2
9,Loss,1,3
10,Uncertainty,2,3
11,Opportunity,3,3
12,Thrill,4,3
13,Completely False,1,4
14,Somewhat True,2,4
15,Completely True,3,4
16,Completely False,1,5
17,Somewhat True,2,5
18,Completely True,3,5
19,Completely False,1,6
20,Somewhat True,2,6
21,Completely True,3,6
22,Completely False,1,7
23,Somewhat True,2,7
24,Completely True,3,7